seed,lnz_dynesty,lnz_err_dynesty,lnz_mcmc,lnz_err_mcmc,lnz_morph_dynesty,lnz_err_morph_dynesty,lnz_morph_mcmc,lnz_err_morph_mcmc
74,-16382.084608875612,0.1080749451575088,-16380.404371936682,0.4993167631904208,-16382.10414165705,0.2445559929052403,-16381.71925830697,0.2701253805441839
75,-16258.556335170077,0.0958598399797386,-16257.34117021979,0.1373719197595219,-16258.58950076511,0.135806153591429,-16258.475791767512,0.1574014763632394
76,-16143.962586021704,0.091872842459147,-16142.476624494626,0.120239506168091,-16143.88274359122,0.1963506527335065,-16143.853285632284,0.2095090231846359
77,-16121.770970981072,0.1020455313142488,-16124.05929122689,0.1099445092234125,-16121.616622363925,0.2805968394978896,-16121.525916858998,0.3326534334434626
78,-16314.28537167854,0.0778141032093615,-16313.991444943807,0.1072704124940077,-16314.116096065738,0.1248153206860444,-16313.990134992362,0.1464726960585509
79,-16298.482638520796,0.0962454753436153,-16297.33531050458,0.1283625472788104,-16298.663232325023,0.2273784007115252,-16298.53656020528,0.2670416154130387
80,-16378.852334844663,0.1230555321132588,-16379.053315533827,0.1597148782680321,-16379.09557088736,0.2807179113967945,-16379.3517545733,0.2996378304770392
81,-16315.043361746655,0.1003077223184897,-16313.737928661163,0.1363821930809055,-16315.238559523488,0.2129457149796811,-16314.929891729926,0.2433440378295988
82,-16414.70072228092,0.0953259902507968,-16413.698598351086,0.1834317569960309,-16414.71978182662,0.174757739604056,-16414.621861607066,0.1936532916907117
83,-16362.21018565805,0.1030382294238268,-16359.792403963558,0.1254235984505302,-16362.191594848848,0.2127631977735861,-16362.06874359276,0.2355437113564152
84,-16049.688313745137,0.0877189839708714,-16048.722493762798,0.114081560239225,-16049.47248653018,0.1327587814015101,-16049.415835438822,0.1445271292942774
85,-16372.926451103234,0.1226040886943042,-16394.11251372078,0.173494411460569,-16372.579489065076,0.3394494063751541,-16372.695945119483,0.3301071011627017
86,-16291.326019747254,0.0962263592537327,-16290.507447334265,0.1148348686657338,-16291.245218161515,0.2339712081113285,-16291.256254954298,0.2589771107031181
87,-16162.674966591852,0.0939460493171728,-16161.831214503996,0.13674497858567,-16162.509700463965,0.1436446023335157,-16162.733241133818,0.1590610162893661
88,-16302.748217372431,0.1164700588504615,-16300.938807965358,0.129121439766245,-16302.771984522622,0.1926603994953211,-16302.764925894156,0.2085814815402825
89,-15969.830120753551,0.1088653018414534,-15967.969558737424,0.1477613400527524,-15969.97955132186,0.2318022091420161,-15969.817846494385,0.2434214446963603
90,-16121.086190696442,0.0999013367787753,-16120.707797142932,0.1464515978862503,-16120.9875527604,0.1348392312067028,-16121.159283311885,0.1420432727469945
91,-16085.344720232017,0.1129861581289784,-16083.60009705693,0.1464916324652645,-16085.28507124009,0.1987550530179287,-16085.225760332698,0.2139382431625472
92,-16289.07087167953,0.1075386130317199,-16286.13113995447,0.1292487450264564,-16289.109200729315,0.2479240302338531,-16288.983642610585,0.2705698811160132
93,-16261.481196198103,0.0944275873214788,-16260.193460081,0.1200533182432616,-16261.337451708489,0.1716494536895864,-16261.40089067056,0.1790362446818482
94,-16260.315599938876,0.0963185099918712,-16260.113817995234,0.1485751802747028,-16259.834188907656,0.1998363614628051,-16259.735547828348,0.2184432359256432
95,-16233.079287638498,0.0862157460491602,-16232.529694469002,0.0960994187683226,-16232.721870089015,0.1569199785868313,-16232.894868444742,0.1841485214319724
96,-16190.860991174834,0.086985407106647,-16190.260733567648,0.2679619402789839,-16190.7452011225,0.1751864209326803,-16190.868716899206,0.1893645076626558
97,-16339.306604432591,0.1093547651774319,-16337.81023374455,0.1269603321125511,-16339.45996563552,0.2463119018044663,-16339.135564251836,0.2689856269609805
98,-16345.402718347024,0.109991024314721,-16344.98991916075,2.632852131258675,-16345.363730835172,0.1445867379801812,-16345.26588995872,0.150915717081297
99,-16067.60887642384,0.0884558833570379,-16066.855001257987,0.1081728752435074,-16067.6544657067,0.1357379892303189,-16067.515299648468,0.1421082317494859
